tripId,city,vehicleType,distanceKm,durationMinutes,timeOfDay,dayOfWeek,trafficLevel,weatherCondition,baseFare,perKmRate,perMinuteRate,surgeMultiplier,quotedFare,expectedFare,overchargePercentage,fareStatus,datasetSource
synthetic-000000,Bengaluru,AUTO,10.22,14,NIGHT,SATURDAY,HIGH,HOT,30,12,0,1.5,290.0,228.96,26.66,SLIGHTLY_HIGH,synthetic
synthetic-000001,Coimbatore,TAXI,20.46,43,EVENING,WEEKDAY,NORMAL,COLD,50,18,0,1.0,362.0,418.28,-13.46,FAIR,synthetic
synthetic-000002,Coimbatore,BUS,21.38,43,NIGHT,SUNDAY,HIGH,RAIN,10,2,0,1.0,47.0,52.76,-10.92,FAIR,synthetic
synthetic-000003,Bengaluru,BIKE_TAXI,7.84,24,DAY,WEEKDAY,NORMAL,COLD,20,8,0,1.0,75.0,82.72,-9.33,FAIR,synthetic
synthetic-000004,Madurai,BUS,7.56,16,NIGHT,WEEKDAY,HIGH,COLD,10,2,0,1.0,28.0,25.12,11.46,SLIGHTLY_HIGH,synthetic
synthetic-000005,Madurai,BIKE_TAXI,14.96,29,DAY,SUNDAY,NORMAL,HOT,20,8,0,1.0,122.0,139.68,-12.66,FAIR,synthetic
synthetic-000006,Bengaluru,AUTO,14.33,36,NIGHT,SUNDAY,NORMAL,CLEAR,30,12,0,1.0,182.0,201.96,-9.88,FAIR,synthetic
synthetic-000007,Coimbatore,AUTO,2.22,9,NIGHT,WEEKDAY,LOW,CLEAR,30,12,0,1.0,70.0,56.64,23.59,SLIGHTLY_HIGH,synthetic
synthetic-000008,Chennai,TAXI,2.89,5,MORNING,SATURDAY,NORMAL,CLEAR,50,18,0,1.0,103.0,102.02,0.96,FAIR,synthetic
synthetic-000009,Bengaluru,TAXI,14.24,39,NIGHT,WEEKDAY,NORMAL,COLD,50,18,0,1.5,887.0,459.48,93.04,OVERCHARGED,synthetic
synthetic-000010,Madurai,TAXI,10.44,31,EVENING,WEEKDAY,LOW,RAIN,50,18,0,1.0,219.0,237.92,-7.95,FAIR,synthetic
synthetic-000011,Bengaluru,BIKE_TAXI,16.93,42,MORNING,WEEKDAY,NORMAL,RAIN,20,8,0,1.0,171.0,155.44,10.01,SLIGHTLY_HIGH,synthetic
synthetic-000012,Coimbatore,AUTO,4.04,7,DAY,WEEKDAY,LOW,CLEAR,30,12,0,1.3,95.0,102.02,-6.88,FAIR,synthetic
synthetic-000013,Bengaluru,BIKE_TAXI,11.13,43,DAY,SUNDAY,NORMAL,RAIN,20,8,0,1.0,198.0,109.04,81.58,OVERCHARGED,synthetic
synthetic-000014,Madurai,BUS,10.22,21,MORNING,WEEKDAY,LOW,CLEAR,10,2,0,1.0,27.0,30.44,-11.3,FAIR,synthetic
synthetic-000015,Coimbatore,BUS,16.27,48,NIGHT,SATURDAY,NORMAL,COLD,10,2,0,1.0,42.0,42.54,-1.27,FAIR,synthetic
synthetic-000016,Coimbatore,BIKE_TAXI,21.01,50,NIGHT,SUNDAY,LOW,CLEAR,20,8,0,1.3,210.0,244.5,-14.11,FAIR,synthetic
synthetic-000017,Bengaluru,BIKE_TAXI,16.72,34,MORNING,SUNDAY,HIGH,HOT,20,8,0,1.0,190.0,153.76,23.57,SLIGHTLY_HIGH,synthetic
synthetic-000018,Coimbatore,TAXI,20.67,70,MORNING,WEEKDAY,LOW,RAIN,50,18,0,1.0,417.0,422.06,-1.2,FAIR,synthetic
synthetic-000019,Bengaluru,TAXI,17.33,41,MORNING,WEEKDAY,HIGH,HOT,50,18,0,1.0,319.0,361.94,-11.86,FAIR,synthetic
synthetic-000020,Madurai,BIKE_TAXI,13.2,31,MORNING,SATURDAY,LOW,COLD,20,8,0,1.1,121.0,138.16,-12.42,FAIR,synthetic
synthetic-000021,Bengaluru,TAXI,11.26,21,MORNING,SUNDAY,NORMAL,CLEAR,50,18,0,1.3,321.0,328.48,-2.28,FAIR,synthetic
synthetic-000022,Coimbatore,BUS,21.29,40,DAY,SUNDAY,NORMAL,RAIN,10,2,0,1.0,57.0,52.58,8.41,FAIR,synthetic
synthetic-000023,Coimbatore,BIKE_TAXI,5.89,11,DAY,SATURDAY,NORMAL,CLEAR,20,8,0,1.0,67.0,67.12,-0.18,FAIR,synthetic
synthetic-000024,Chennai,TAXI,16.67,47,NIGHT,WEEKDAY,HIGH,COLD,50,18,0,1.0,364.0,350.06,3.98,FAIR,synthetic
synthetic-000025,Coimbatore,BIKE_TAXI,4.48,8,EVENING,SATURDAY,LOW,HOT,20,8,0,1.0,50.0,55.84,-10.46,FAIR,synthetic
synthetic-000026,Coimbatore,BIKE_TAXI,7.68,12,EVENING,SATURDAY,NORMAL,COLD,20,8,0,1.0,74.0,81.44,-9.14,FAIR,synthetic
synthetic-000027,Bengaluru,TAXI,2.03,3,NIGHT,SUNDAY,NORMAL,COLD,50,18,0,1.2,110.0,103.85,5.92,FAIR,synthetic
synthetic-000028,Bengaluru,AUTO,17.84,38,NIGHT,SATURDAY,NORMAL,COLD,30,12,0,1.0,236.0,244.08,-3.31,FAIR,synthetic
synthetic-000029,Madurai,TAXI,14.43,36,DAY,SATURDAY,LOW,RAIN,50,18,0,1.0,289.0,309.74,-6.7,FAIR,synthetic
synthetic-000030,Madurai,AUTO,7.23,21,MORNING,SUNDAY,HIGH,HOT,30,12,0,1.0,122.0,116.76,4.49,FAIR,synthetic
synthetic-000031,Madurai,BUS,14.29,26,MORNING,SATURDAY,LOW,HOT,10,2,0,1.0,55.0,38.58,42.56,OVERCHARGED,synthetic
