latitude,longitude,timeOfDay,dayOfWeek,policeDistanceKm,hospitalDistanceKm,fireStationDistanceKm,emergencyResponseDistanceKm,incidentCount,crimeReports,touristReports,lightingScore,crowdDensity,transportAvailability,safetyLevel,datasetSource
13.18698,80.17555,DAY,SUNDAY,10.97,4.94,15.73,20.18,18,0,2,22,LOW,LOW,HIGH_RISK,synthetic
13.02171,80.0909,NIGHT,WEEKDAY,1.79,6.05,5.79,9.82,0,2,0,63,LOW,LOW,MODERATE,synthetic
12.8219,80.06172,MORNING,SATURDAY,4.85,6.82,3.95,6.33,0,0,0,65,NORMAL,MODERATE,SAFE,synthetic
13.21634,80.28011,NIGHT,SUNDAY,5.25,5.93,4.32,5.59,0,0,0,65,HIGH,MODERATE,SAFE,synthetic
13.15258,80.31229,EVENING,WEEKDAY,4.06,2.27,2.69,9.02,2,1,3,60,LOW,HIGH,MODERATE,synthetic
12.81541,80.17469,EVENING,SUNDAY,0.88,2.15,0.86,0.7,0,0,0,86,NORMAL,MODERATE,SAFE,synthetic
13.20701,80.06679,DAY,WEEKDAY,0.27,1.83,1.49,1.06,0,0,0,89,NORMAL,HIGH,SAFE,synthetic
12.98091,80.03506,DAY,WEEKDAY,1.93,2.28,2.16,1.43,0,0,0,79,NORMAL,MODERATE,SAFE,synthetic
13.02789,80.08095,MORNING,SATURDAY,4.11,2.47,7.14,9.83,3,1,0,39,NORMAL,HIGH,MODERATE,synthetic
13.0079,80.01665,EVENING,WEEKDAY,2.98,2.29,2.62,8.29,1,1,0,55,NORMAL,HIGH,MODERATE,synthetic
13.04115,80.31309,DAY,WEEKDAY,1.02,1.28,2.83,2.5,0,0,0,70,NORMAL,MODERATE,SAFE,synthetic
13.24808,80.0561,NIGHT,WEEKDAY,1.99,5.2,3.69,8.93,4,0,0,35,LOW,LOW,MODERATE,synthetic
13.07743,80.14837,NIGHT,WEEKDAY,12.08,7.17,15.48,12.65,12,2,2,11,DESERTED,LOW,HIGH_RISK,synthetic
13.24584,80.29944,NIGHT,WEEKDAY,12.93,9.19,8.48,20.35,16,2,0,20,DESERTED,MODERATE,HIGH_RISK,synthetic
12.92049,80.0491,EVENING,SATURDAY,5.53,5.79,11.59,21.99,2,1,0,16,DESERTED,LOW,MODERATE,synthetic
12.91483,80.05273,NIGHT,WEEKDAY,2.05,4.28,6.17,8.23,0,2,0,41,NORMAL,LOW,MODERATE,synthetic
12.95047,80.19543,DAY,WEEKDAY,5.8,3.08,7.55,3.22,3,1,0,67,NORMAL,LOW,MODERATE,synthetic
13.26651,80.32174,NIGHT,SUNDAY,5.03,1.6,2.65,10.46,1,0,1,78,HIGH,HIGH,SAFE,synthetic
13.00629,80.14967,MORNING,SATURDAY,4.43,6.27,4.72,5.23,2,0,1,78,NORMAL,LOW,MODERATE,synthetic
13.21233,80.12413,MORNING,SATURDAY,1.85,0.5,1.0,1.04,0,0,0,87,NORMAL,MODERATE,SAFE,synthetic
12.99682,80.1272,DAY,WEEKDAY,5.44,6.18,2.26,4.63,0,0,0,61,HIGH,HIGH,MODERATE,synthetic
13.21673,80.02078,NIGHT,SUNDAY,4.99,12.44,14.93,23.67,19,5,3,26,DESERTED,MODERATE,HIGH_RISK,synthetic
13.22879,80.18512,EVENING,WEEKDAY,4.38,2.97,2.84,7.3,0,0,0,59,LOW,HIGH,SAFE,synthetic
13.14287,80.11875,EVENING,WEEKDAY,13.16,8.81,8.61,16.57,17,8,1,24,LOW,MODERATE,HIGH_RISK,synthetic
12.9012,80.27792,NIGHT,SUNDAY,5.32,10.14,6.05,19.61,0,6,0,15,DESERTED,MODERATE,MODERATE,synthetic
13.19131,80.31805,EVENING,SUNDAY,6.53,9.9,6.05,17.86,4,1,1,21,LOW,MODERATE,HIGH_RISK,synthetic
13.04608,80.23984,EVENING,SUNDAY,5.2,5.17,5.96,18.53,1,5,4,31,DESERTED,LOW,HIGH_RISK,synthetic
12.93527,80.14568,NIGHT,SATURDAY,2.21,2.31,7.62,6.94,1,0,0,77,HIGH,HIGH,SAFE,synthetic
13.29332,80.2871,EVENING,SUNDAY,5.18,12.51,12.01,9.95,7,10,0,21,DESERTED,LOW,HIGH_RISK,synthetic
13.02927,80.17693,NIGHT,WEEKDAY,5.63,5.8,2.66,11.97,1,0,0,36,NORMAL,HIGH,MODERATE,synthetic
12.84522,80.35881,MORNING,SUNDAY,0.56,0.44,2.37,1.19,1,0,0,89,NORMAL,HIGH,SAFE,synthetic
12.91928,80.33976,DAY,SATURDAY,1.62,2.33,2.36,2.94,0,0,0,88,NORMAL,MODERATE,SAFE,synthetic
13.22557,80.06209,MORNING,SUNDAY,2.37,2.99,6.26,11.82,0,0,0,68,NORMAL,MODERATE,SAFE,synthetic
12.88656,80.03669,DAY,SUNDAY,1.96,1.2,2.4,2.73,0,0,0,86,NORMAL,HIGH,SAFE,synthetic
13.2703,80.05938,EVENING,SUNDAY,3.32,4.11,2.72,4.21,0,0,0,70,LOW,HIGH,SAFE,synthetic
12.90881,80.23532,EVENING,SATURDAY,1.66,3.8,4.84,5.03,0,0,0,53,LOW,HIGH,SAFE,synthetic
13.19372,80.21966,NIGHT,WEEKDAY,4.32,3.48,5.08,9.63,0,1,0,68,LOW,MODERATE,MODERATE,synthetic
13.04707,80.04634,EVENING,SUNDAY,1.7,0.23,0.99,1.67,0,0,0,79,NORMAL,MODERATE,SAFE,synthetic
12.87681,80.24034,DAY,SATURDAY,0.79,2.4,2.99,3.2,0,0,0,95,NORMAL,MODERATE,SAFE,synthetic
13.06254,80.0655,EVENING,WEEKDAY,1.69,2.47,1.76,3.44,0,0,0,70,NORMAL,MODERATE,SAFE,synthetic
12.87534,80.07237,DAY,SUNDAY,4.45,6.33,8.21,15.84,11,5,0,20,DESERTED,LOW,HIGH_RISK,synthetic
13.12457,80.26808,EVENING,SATURDAY,4.58,7.67,10.93,13.42,4,5,3,29,DESERTED,LOW,HIGH_RISK,synthetic
13.22514,80.13624,DAY,WEEKDAY,3.89,2.08,4.39,11.26,0,0,0,75,NORMAL,MODERATE,SAFE,synthetic
13.0241,80.12301,NIGHT,SATURDAY,1.53,3.03,6.22,8.7,2,0,0,79,HIGH,HIGH,MODERATE,synthetic
13.191,80.34672,DAY,SATURDAY,1.49,1.16,1.75,2.79,0,1,0,91,HIGH,MODERATE,SAFE,synthetic
12.82047,80.31094,DAY,SUNDAY,5.93,4.06,7.87,6.7,1,0,1,50,LOW,LOW,MODERATE,synthetic
12.81849,80.14908,MORNING,SATURDAY,0.31,1.72,2.2,3.21,1,0,0,81,NORMAL,HIGH,SAFE,synthetic
12.80225,80.20585,DAY,SUNDAY,1.63,3.71,7.37,9.04,0,1,0,70,HIGH,LOW,SAFE,synthetic
12.93741,80.35462,DAY,SUNDAY,0.26,0.92,2.21,3.33,0,0,0,87,NORMAL,MODERATE,SAFE,synthetic
13.25765,80.19877,EVENING,SUNDAY,0.79,0.26,0.77,0.56,0,0,0,87,NORMAL,MODERATE,SAFE,synthetic
12.94227,80.3588,DAY,WEEKDAY,0.72,2.28,1.68,3.1,0,0,0,92,NORMAL,HIGH,SAFE,synthetic
13.08074,80.31679,NIGHT,SATURDAY,8.38,8.76,15.94,18.79,4,20,6,10,LOW,LOW,HIGH_RISK,synthetic
13.12646,80.38214,EVENING,SUNDAY,3.45,1.7,7.76,3.93,0,1,0,79,NORMAL,MODERATE,SAFE,synthetic
12.8558,80.1538,MORNING,WEEKDAY,1.43,0.6,1.05,1.88,0,0,0,79,HIGH,HIGH,SAFE,synthetic
12.96655,80.17253,NIGHT,SUNDAY,12.41,6.6,8.55,11.88,13,2,1,22,DESERTED,LOW,HIGH_RISK,synthetic
13.03038,80.28462,MORNING,SATURDAY,0.19,0.43,2.77,0.53,0,0,0,91,NORMAL,MODERATE,SAFE,synthetic
13.22472,80.0019,DAY,WEEKDAY,10.19,5.63,13.5,21.69,4,7,4,38,LOW,MODERATE,HIGH_RISK,synthetic
12.9592,80.31969,EVENING,SUNDAY,2.47,3.78,3.91,3.7,0,0,0,51,LOW,MODERATE,SAFE,synthetic
13.16929,80.12686,NIGHT,SATURDAY,9.94,5.26,6.58,19.09,1,0,2,14,DESERTED,MODERATE,MODERATE,synthetic
12.86345,80.35892,NIGHT,WEEKDAY,9.36,10.22,8.01,8.81,8,0,0,39,DESERTED,MODERATE,HIGH_RISK,synthetic
12.91564,80.34956,EVENING,SATURDAY,1.26,1.43,1.31,2.87,0,0,0,91,NORMAL,MODERATE,SAFE,synthetic
13.19801,80.20809,NIGHT,SUNDAY,1.92,6.39,4.37,9.14,0,1,0,65,NORMAL,LOW,MODERATE,synthetic
13.0349,80.2934,EVENING,SUNDAY,7.79,9.17,13.16,19.7,8,1,0,36,DESERTED,MODERATE,HIGH_RISK,synthetic
12.84993,80.08176,EVENING,SATURDAY,1.6,6.89,4.26,9.47,3,1,0,50,LOW,HIGH,MODERATE,synthetic
13.26769,80.18706,EVENING,SATURDAY,0.82,1.05,0.57,1.07,0,0,0,82,NORMAL,MODERATE,SAFE,synthetic
12.90104,80.07431,MORNING,WEEKDAY,3.61,2.93,2.27,7.33,3,6,0,74,HIGH,MODERATE,MODERATE,synthetic
13.1824,80.35068,DAY,SUNDAY,13.85,13.82,15.48,9.15,1,2,0,19,DESERTED,MODERATE,HIGH_RISK,synthetic
12.88266,80.1013,MORNING,SATURDAY,1.72,1.5,2.26,1.54,0,0,0,88,HIGH,HIGH,SAFE,synthetic
